Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Tenure_Years,Performance_Level
EMP1000,Bob,Davis,25.0,DevOps-California,Active,2021-04-02,59767.65,bob.davis@example.com,-1651623197,Average,1,DevOps,California,5.25,2
EMP1001,Bob,Brown,30.0,Finance-Texas,Active,2020-07-10,65304.66,bob.brown@example.com,-1898471390,Excellent,1,Finance,Texas,5.98,4
EMP1002,Alice,Jones,30.0,Admin-Nevada,Pending,2023-12-07,88145.9,alice.jones@example.com,-5596363211,Good,1,Admin,Nevada,2.57,3
EMP1003,Eva,Davis,25.0,Admin-Nevada,Inactive,2021-11-27,69450.99,eva.davis@example.com,-3476490784,Good,1,Admin,Nevada,4.6,3
EMP1004,Frank,Williams,25.0,Cloud Tech-Florida,Active,2022-01-05,109324.61,frank.williams@example.com,-1586734256,Poor,0,Cloud Tech,Florida,4.49,1
EMP1005,Alice,Garcia,40.0,Sales-Texas,Inactive,2020-06-10,88642.84,alice.garcia@example.com,-5409003485,Good,0,Sales,Texas,6.06,3
EMP1006,Frank,Jones,30.0,Admin-Nevada,Active,2020-04-03,96288.43,frank.jones@example.com,-4518376063,Good,0,Admin,Nevada,6.25,3
EMP1007,Bob,Jones,30.0,Cloud Tech-Florida,Inactive,2022-07-17,94497.91,bob.jones@example.com,-4134327559,Average,1,Cloud Tech,Florida,3.96,2
EMP1008,Frank,Davis,35.0,Admin-Nevada,Inactive,2023-12-08,115565.82,frank.davis@example.com,-4177656123,Excellent,1,Admin,Nevada,2.57,4
EMP1009,Charlie,Johnson,30.0,DevOps-New York,Active,2022-08-04,76561.88,charlie.johnson@example.com,-8156985699,Excellent,1,DevOps,New York,3.92,4
EMP1010,David,Williams,35.0,Cloud Tech-New York,Active,2024-07-06,72081.71,david.williams@example.com,-2720634590,Average,0,Cloud Tech,New York,1.99,2
EMP1011,David,Davis,30.0,DevOps-California,Active,2023-09-04,84946.19,david.davis@example.com,-1238296576,Poor,1,DevOps,California,2.83,1
EMP1012,Heidi,Williams,30.0,HR-New York,Active,2024-03-05,89295.77,heidi.williams@example.com,-2429543164,Excellent,0,HR,New York,2.33,4
EMP1013,Grace,Williams,30.0,Finance-California,Active,2020-10-10,85666.84,grace.williams@example.com,-2669300892,Good,0,Finance,California,5.73,3
EMP1014,Alice,Garcia,25.0,Admin-Nevada,Active,2024-06-10,97633.68,alice.garcia@example.com,-1734206968,Excellent,1,Admin,Nevada,2.06,4
EMP1015,Grace,Jones,40.0,Sales-Florida,Pending,2021-05-29,117975.49,grace.jones@example.com,-4215291085,Good,1,Sales,Florida,5.1,3
EMP1016,Alice,Brown,25.0,DevOps-Illinois,Inactive,2024-04-23,94867.33,alice.brown@example.com,-7713334475,Poor,0,DevOps,Illinois,2.2,1
EMP1017,Grace,Garcia,30.0,Finance-Texas,Pending,2024-11-28,100377.65,grace.garcia@example.com,-2639343625,Average,1,Finance,Texas,1.6,2
EMP1018,Charlie,Garcia,30.0,Cloud Tech-Nevada,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,-2044397358,Excellent,0,Cloud Tech,Nevada,1.79,4
EMP1019,Charlie,Williams,35.0,Admin-Illinois,Pending,2020-01-02,91926.12,charlie.williams@example.com,-7107256365,Average,1,Admin,Illinois,6.5,2
EMP1020,Bob,Miller,35.0,HR-New York,Active,2021-05-08,111460.67,bob.miller@example.com,-9411800536,Excellent,1,HR,New York,5.16,4
EMP1021,Bob,Jones,40.0,Cloud Tech-Illinois,Active,2020-09-19,96182.56,bob.jones@example.com,-5990048963,Good,0,Cloud Tech,Illinois,5.79,3
EMP1022,Charlie,Johnson,35.0,Sales-Illinois,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,-6528092427,Average,1,Sales,Illinois,5.32,2
EMP1023,David,Garcia,35.0,Finance-Nevada,Pending,2022-02-03,80667.01,david.garcia@example.com,-7572158623,Excellent,0,Finance,Nevada,4.41,4
EMP1024,Bob,Brown,30.0,Admin-Texas,Inactive,2020-02-13,91181.61,bob.brown@example.com,-1502745643,Good,1,Admin,Texas,6.39,3
EMP1025,David,Miller,25.0,Cloud Tech-Nevada,Pending,2020-04-30,66025.92,david.miller@example.com,-9485625727,Average,0,Cloud Tech,Nevada,6.18,2
EMP1026,Frank,Miller,25.0,Sales-New York,Inactive,2023-10-02,83979.01,frank.miller@example.com,-7032032073,Average,0,Sales,New York,2.75,2
EMP1027,Heidi,Johnson,30.0,Finance-Florida,Active,2020-07-12,56785.16,heidi.johnson@example.com,-2761707586,Excellent,1,Finance,Florida,5.98,4
EMP1028,Grace,Garcia,40.0,Finance-Nevada,Active,2023-10-11,95741.88,grace.garcia@example.com,-7712151341,Excellent,0,Finance,Nevada,2.73,4
EMP1029,Alice,Brown,40.0,DevOps-California,Active,2021-05-24,63411.31,alice.brown@example.com,-2849939088,Excellent,1,DevOps,California,5.11,4
EMP1030,Charlie,Jones,40.0,Admin-California,Inactive,2021-05-26,111214.02,charlie.jones@example.com,-2613715040,Good,1,Admin,California,5.11,3
EMP1031,Bob,Smith,25.0,DevOps-Illinois,Active,2020-07-10,114845.69,bob.smith@example.com,-6591520176,Excellent,1,DevOps,Illinois,5.98,4
EMP1032,Charlie,Brown,40.0,Finance-Florida,Active,2024-11-05,78072.82,charlie.brown@example.com,-7490509758,Average,0,Finance,Florida,1.66,2
EMP1033,Grace,Johnson,25.0,Finance-California,Inactive,2021-08-07,79610.52,grace.johnson@example.com,-2304501895,Average,0,Finance,California,4.91,2
EMP1034,Heidi,Miller,30.0,Admin-California,Active,2020-04-29,90542.62,heidi.miller@example.com,-1642361031,Excellent,1,Admin,California,6.18,4
EMP1035,Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,2022-10-26,114357.1,frank.jones@example.com,-6642147648,Excellent,1,Cloud Tech,Illinois,3.69,4
EMP1036,Alice,Brown,30.0,Cloud Tech-New York,Active,2023-05-03,54757.26,alice.brown@example.com,-2515837766,Poor,0,Cloud Tech,New York,3.17,1
EMP1037,Grace,Smith,25.0,Sales-New York,Pending,2023-05-02,52781.92,grace.smith@example.com,-4996165925,Average,1,Sales,New York,3.17,2
EMP1038,Frank,Smith,35.0,Admin-Nevada,Pending,2021-10-05,66708.02,frank.smith@example.com,-6108573277,Good,1,Admin,Nevada,4.74,3
EMP1039,Eva,Williams,40.0,HR-Texas,Active,2022-07-27,93481.15,eva.williams@example.com,-8147617421,Poor,0,HR,Texas,3.94,1
EMP1040,Bob,Williams,25.0,Sales-New York,Pending,2021-06-27,59271.96,bob.williams@example.com,-4386490809,Excellent,1,Sales,New York,5.02,4
EMP1041,Bob,Davis,30.0,HR-California,Active,2022-06-16,108362.15,bob.davis@example.com,-8186617944,Excellent,0,HR,California,4.05,4
EMP1042,Alice,Johnson,30.0,HR-Nevada,Active,2024-12-03,59400.38,alice.johnson@example.com,-4918017225,Average,1,HR,Nevada,1.58,2
EMP1043,Bob,Garcia,30.0,Admin-California,Inactive,2023-05-23,64744.08,bob.garcia@example.com,-164597793,Excellent,0,Admin,California,3.12,4
EMP1044,Eva,Brown,30.0,Finance-California,Active,2020-07-08,94399.91,eva.brown@example.com,-5232194167,Good,1,Finance,California,5.99,3
EMP1045,Alice,Brown,25.0,HR-New York,Pending,2021-06-20,61310.74,alice.brown@example.com,-61027768,Average,1,HR,New York,5.04,2
EMP1046,Grace,Garcia,30.0,Cloud Tech-Texas,Active,2024-12-13,98371.37,grace.garcia@example.com,-7499564121,Excellent,0,Cloud Tech,Texas,1.56,4
EMP1047,Alice,Davis,35.0,Sales-Illinois,Active,2022-05-30,58921.19,alice.davis@example.com,-310303722,Average,1,Sales,Illinois,4.1,2
EMP1048,Alice,Miller,35.0,Admin-Nevada,Active,2023-09-27,57195.55,alice.miller@example.com,-6831472759,Excellent,0,Admin,Nevada,2.77,4
EMP1049,Grace,Miller,30.0,DevOps-New York,Active,2024-11-05,61375.12,grace.miller@example.com,-1227770792,Excellent,1,DevOps,New York,1.66,4
EMP1050,Charlie,Davis,40.0,Cloud Tech-New York,Pending,2021-11-11,104767.05,charlie.davis@example.com,-3496050165,Excellent,0,Cloud Tech,New York,4.64,4
EMP1051,David,Miller,35.0,Admin-Nevada,Active,2022-02-22,111051.67,david.miller@example.com,-7998407677,Good,0,Admin,Nevada,4.36,3
EMP1052,David,Williams,30.0,Finance-California,Inactive,2024-08-07,105674.18,david.williams@example.com,-9973080694,Good,0,Finance,California,1.91,3
EMP1053,Alice,Brown,30.0,Finance-California,Inactive,2024-11-05,54859.45,alice.brown@example.com,-8146717956,Average,0,Finance,California,1.66,2
EMP1054,Frank,Davis,30.0,Finance-Nevada,Pending,2021-11-09,115746.6,frank.davis@example.com,-6024375737,Excellent,1,Finance,Nevada,4.65,4
EMP1055,Eva,Brown,30.0,Sales-California,Active,2020-08-10,91759.99,eva.brown@example.com,-3959724664,Excellent,1,Sales,California,5.9,4
EMP1056,Frank,Garcia,40.0,Sales-Illinois,Active,2022-02-27,112965.33,frank.garcia@example.com,-7293417222,Good,0,Sales,Illinois,4.35,3
EMP1057,Alice,Smith,40.0,Cloud Tech-Illinois,Pending,2023-11-07,100360.1,alice.smith@example.com,-2971674337,Excellent,0,Cloud Tech,Illinois,2.66,4
EMP1058,David,Williams,35.0,Finance-Texas,Pending,2021-11-07,93620.88,david.williams@example.com,-54522800,Good,0,Finance,Texas,4.65,3
EMP1059,Bob,Jones,35.0,Sales-California,Pending,2022-04-16,72832.8,bob.jones@example.com,-5619318373,Excellent,1,Sales,California,4.22,4
EMP1060,Charlie,Williams,30.0,Finance-Nevada,Inactive,2023-10-19,102369.42,charlie.williams@example.com,-5508428909,Average,1,Finance,Nevada,2.71,2
EMP1061,Eva,Davis,40.0,Sales-Texas,Inactive,2021-08-10,64712.79,eva.davis@example.com,-7711991807,Excellent,1,Sales,Texas,4.9,4
EMP1062,Frank,Jones,40.0,Finance-Florida,Pending,2021-03-13,85782.18,frank.jones@example.com,-1213524786,Excellent,1,Finance,Florida,5.31,4
EMP1063,Charlie,Smith,25.0,HR-Illinois,Pending,2023-07-20,93348.26,charlie.smith@example.com,-1255213759,Poor,0,HR,Illinois,2.96,1
